geo,hours,address,restaurant_phone,restaurant_id,price_range,menus,price_range_100,cuisines,restaurant_name
"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",(773) 262-5216,305256,$,[],1,"[Japanese,Sushi]",Nori Sushi
"{lon:-114.293094,lat:48.341844}",,"{city:COLUMBIA FALLS,formatted:1187 Hodgson Rd COLUMBIA FALLS, MT 59912,street:1187 Hodgson Rd,state:MT,postal_code:59912}",(406) 362-3093,129697,,[],0,["Sandwiches"],Subway
"{lon:-95.011821,lat:29.770336}",,"{city:BAYTOWN,formatted:4309 W Baker Rd BAYTOWN, TX 77521,street:4309 W Baker Rd,state:TX,postal_code:77521}",(281) 424-1451,162093,,[],0,"[American,Burgers,Ice Cream]",Dairy Queen
"{lon:-77.731966,lat:43.16493}",,"{city:ROCHESTER,formatted:3872 Lyell Rd ROCHESTER, NY 14606,street:3872 Lyell Rd,state:NY,postal_code:14606}",(585) 247-7575,24957,,[],0,"[American,Pizza]",Carmine's Express
"{lon:-122.341946,lat:47.610187}",,"{city:Seattle,formatted:1914 Post Alley Seattle, WA 98101,street:1914 Post Alley,state:WA,postal_code:98101}",(206) 443-2150,341729,$$$,[],3,[],Post
"{lon:-72.590004,lat:42.102272}",,"{city:Springfield,formatted:1390 Main St Springfield, MA 01103,street:1390 Main St,state:MA,postal_code:01103}",(413) 737-7373,345281,$$,[],2,[],Nadim's Mediterranean Grill
"{lon:-119.163648,lat:46.212299}",,"{city:KENNEWICK,formatted:3115 W Clearwater Ave KENNEWICK, WA 99336,street:3115 W Clearwater Ave,state:WA,postal_code:99336}",(509) 783-5585,195777,,[],0,"[American,Burgers]",Wendy's
"{lon:-84.074281,lat:34.064328}",,"{city:Suwanee,formatted:455 Peachtree Industrial Blvd Suwanee, GA 30024,street:455 Peachtree Industrial Blvd,state:GA,postal_code:30024}",(770) 831-5560,528219,,[],0,[],Taco Bell
"{lon:-79.923183,lat:40.43291}", ,"{city:PITTSBURGH,formatted:2128 Murray Ave PITTSBURGH, PA 15217,street:2128 Murray Ave,state:PA,postal_code:15217}",(412) 521-9864,27947,$$,[],2,"[American,Pizza]",Mineo's Pizza House
"{lon:-96.658852,lat:32.702323}",,"{city:DALLAS,formatted:9531 C F Hawn Fwy DALLAS, TX 75217,street:9531 C F Hawn Fwy,state:TX,postal_code:75217}",(214) 391-7792,62564,,[],0,["Sandwiches"],Subway
